Reference,gr,Latitude,Longitude
TBD2000010701,255,27.628667,-82.7085
TBD2000010702,255,27.6625,-82.724167
TBD2000011201,255,27.63,-82.7075
TBD2000011202,255,27.63,-82.707333
TBD2000011801,251,27.537,-82.622333
TBD2000011802,251,27.576167,-82.559667
TBD2000011901,255,27.6285,-82.706167
TBD2000011902,251,27.6505,-82.730333
TBD2000012801,251,27.629333,-82.708167
TBD2000020201,255,27.651667,-82.732
TBD2000020202,255,27.629167,-82.707833
TBD2000020203,255,27.629167,-82.708
TBD2000020901,251,27.626667,-82.707167
TBD2000020902,251,27.626667,-82.707167
TBD2000020903,254,27.626667,-82.707167
TBD2000020904,251,27.636667,-82.708333
TBD2000021601,251,27.629,-82.707167
TBD2000021602,251,27.628333,-82.7065
TBD2000021603,251,27.629,-82.705333
TBD2000021604,251,27.633167,-82.702333
TBD2000021605,251,27.6355,-82.709167
TBD2000022301,251,27.629833,-82.705833
TBD2000030101,251,27.629667,-82.707833
TBD2000030102,251,27.657667,-82.7105
TBD2000031001,251,27.648833,-82.726667
TBD2000031002,251,27.655167,-82.7335
TBD2000092501,251,27.8175,-82.398167
TBD2000092502,251,27.848333,-82.408333
TBD2000092701,251,28.031,-82.677833
TBD2000092702,251,28.022833,-82.686667
TBD2000092703,251,27.967333,-82.693
TBD2000102401,251,27.983833,-82.615167
TBD2000102402,251,27.986167,-82.6155
TBD2000102403,251,27.989333,-82.617167
TBD2000102701,251,27.540167,-82.605667
TBD2000102702,251,27.569333,-82.618
TBD2000102703,251,27.569167,-82.617667
TBD2000102704,251,27.556667,-82.63
TBD2000120501,251,27.6815,-82.501333
TBD2000120502,251,27.679167,-82.508
TBD2000120601,251,27.848833,-82.609333
TBD2000120603,251,27.63,-82.7105
TBD2000121901,251,27.565,-82.581667
TBD2000122701,251,27.658667,-82.741833
TBD2001010101,251,27.65495,-82.743517
TBD2001010102,251,27.652283,-82.7303
TBD2001010201,251,27.536667,-82.613333
TBD2001010202,251,27.536667,-82.631167
TBD2001010301,251,27.651,-82.728333
TBD2001010302,251,27.653667,-82.742167
TBD2001010401,251,27.629683,-82.707
TBD2001010402,251,27.660133,-82.74315
TBD2001010403,251,27.656317,-82.732233
TBD2001010601,251,27.65355,-82.724883
TBD2001012301,257,27.800167,-82.405833
TBD2001012302,256,27.806667,-82.406667
TBD2001012303,256,27.807,-82.402667
TBD2001012304,257,27.848783,-82.40625
TBD2001012305,257,27.848833,-82.406183
TBD2001012306,257,27.851667,-82.398333
TBD2001012307,257,27.851667,-82.396667
TBD2001020101,251,27.658383,-82.74205
TBD2001020201,251,27.536667,-82.631167
TBD2001020301,251,27.659683,-82.7416
TBD2001020302,251,27.659667,-82.7415
TBD2001020303,251,27.652283,-82.7303
TBD2001022101,800,27.872133,-82.426383
TBD2001022102,800,27.817167,-82.398
TBD2001022201,256,27.825,-82.408333
TBD2001022301,256,27.8465,-82.412667
TBD2001022302,800,27.856667,-82.35
TBD2001032101,800,27.857833,-82.359
TBD2001032102,251,27.822917,-82.394283
TBD2001032202,800,27.850567,-82.3968
TBD2001042101,800,27.851817,-82.397417
TBD2001042102,256,27.825733,-82.396533
TBD2001042104,800,27.850783,-82.397067
TBD2001042202,800,27.850783,-82.39705
TBD2001042204,800,27.856683,-82.368533
TBD2001042301,800,27.862017,-82.342117
TBD2001042401,800,27.851667,-82.397167
TBD2001042402,800,27.835833,-82.392333
TBD2001042403,251,27.8263,-82.395767
TBD2001052101,800,27.846,-82.3955
TBD2001052201,800,27.850567,-82.3968
TBD2001052202,800,27.8459,-82.395567
TBD2001052204,800,27.817067,-82.39805
TBD2001052205,800,27.835833,-82.392333
TBD2001052301,800,27.845917,-82.3955
TBD2001052302,800,27.806883,-82.40415
TBD2001052303,800,27.813183,-82.401167
TBD2001052304,800,27.845917,-82.395733
TBD2001052401,251,27.88845,-82.40825
TBD2001052403,800,27.845717,-82.3948
TBD2001052405,800,27.855567,-82.3931
TBD2001052501,800,27.886067,-82.401
TBD2001052502,800,27.837983,-82.381933
TBD2001052503,800,27.850633,-82.396883
TBD2001052601,800,27.84585,-82.395333
TBD2001052602,800,27.800067,-82.399283
TBD2001052603,800,27.801667,-82.401683
TBD2001052604,800,27.814167,-82.3975
TBD2001062101,800,27.849533,-82.395167
TBD2001062201,800,27.845867,-82.395333
TBD2001062301,800,27.845867,-82.395467
TBD2001062302,800,27.845867,-82.395467
TBD2001062401,800,27.845867,-82.395467
TBD2001062402,800,27.85065,-82.397
