Scientificname,Commonname,Taxa_Type,total_count,n_observations,non-native,invasive
Acanthostracion quadricornis,Scrawled Cowfish,Fish,13637,3384,,
Achiridae spp.,American Soles,Fish,44,10,,
Achirus lineatus,Lined Sole,Fish,8613,4050,,
Acipenser desotoi,Gulf Sturgeon,Fish,1,1,,
Aetobatus narinari,Spotted Eagle Ray,Fish,47,43,,
Albula goreensis,Senegalese Bonefish,Fish,1,1,,
Albula sp. cf. vulpes,bonefishes,Fish,4,3,,
Albula spp.,bonefishes,Fish,14,11,,
Albula vulpes,Bonefish,Fish,33,21,,
Alburnops petersoni,Coastal Shiner,Fish,6596,314,,
Aluterus schoepfii,Orange Filefish,Fish,688,435,,
Aluterus scriptus,Scrawled Filefish,Fish,8,3,,
Aluterus spp.,filefishes,Fish,1,1,,
Ameiurus catus,White Catfish,Fish,559,143,,
Ameiurus natalis,Yellow Bullhead,Fish,3,3,,
Ameiurus nebulosus,Brown Bullhead,Fish,9,7,,
Ameiurus spp.,Bullheads,Fish,4,3,,
Amia calva,Bowfin,Fish,23,18,,
Anarchopterus criniger,Fringed Pipefish,Fish,298,147,,
Anchoa cubana,Cuban Anchovy,Fish,111838,232,,
Anchoa hepsetus,Striped Anchovy,Fish,153140,1626,,
Anchoa lyolepis,Dusky Anchovy,Fish,5971,11,,
Anchoa mitchilli,Bay Anchovy,Fish,10708629,13329,,
Anchoa spp.,Anchovies,Fish,35054,76,,
Ancylopsetta quadrocellata,Ocellated Flounder,Fish,193,158,,
Anguilliformes spp.,Eels,Fish,3,2,,
Aphredoderus sayanus,Pirate Perch,Fish,4,4,,
Archosargus probatocephalus,Sheepshead,Fish,33967,8553,,
Archosargus rhomboidalis,Sea Bream,Fish,1,1,,
Ariopsis felis,Hardhead Catfish,Fish,75011,7027,,
Astroscopus y-graecum,Southern Stargazer,Fish,39,33,,
Atherina harringtonensis,Reef Silverside,Fish,1,1,,
Atherinidae spp.,Old World Silversides,Fish,5,3,,
Atherinopsidae spp.,New World Silversides,Fish,3,3,,
Bagre marinus,Gafftopsail Catfish,Fish,4474,1223,,
Bairdiella chrysoura,Silver Perch,Fish,203910,6281,,
Balistidae spp.,Triggerfishes,Fish,1,1,,
Bascanichthys scuticaris,Whip Eel,Fish,1,1,,
Bathygobius soporator,Frillfin Goby,Fish,1833,847,,
Bathygobius spp.,gobies,Fish,145,46,,
Belonesox belizanus,Pike Killifish,Fish,575,333,Y,
Brevoortia spp.,Menhadens,Fish,134895,1692,,
Calamus arctifrons,Grass Porgy,Fish,1630,386,,
Calamus bajonado,Jolthead Porgy,Fish,5,5,,
Calamus penna,Sheepshead Porgy,Fish,178,113,,
Calamus proridens,Littlehead Porgy,Fish,10,9,,
Calamus spp.,porgies,Fish,156,113,,
Caranx bartholomaei,Yellow Jack,Fish,1,1,,
Caranx crysos,Blue Runner,Fish,295,124,,
Caranx hippos,Crevalle Jack,Fish,4380,1029,,
Caranx latus,Horse-eye Jack,Fish,107,69,,
Caranx spp.,jacks,Fish,1,1,,
Carcharhinus acronotus,Blacknose Shark,Fish,7,4,,
Carcharhinus leucas,Bull Shark,Fish,32,28,,
Carcharhinus limbatus,Blacktip Shark,Fish,39,24,,
Carcharhinus spp.,requiem sharks,Fish,1,1,,
Centrarchidae spp.,sunfishes,Fish,1,1,,
Centropomus undecimalis,Common Snook,Fish,47832,7564,,
Centropristis striata,Black Sea Bass,Fish,2909,823,,
Chaetodipterus faber,Atlantic Spadefish,Fish,15281,2394,,
Chaetodon capistratus,Foureye Butterflyfish,Fish,1,1,,
Chaetodon ocellatus,Spotfin Butterflyfish,Fish,2,1,,
Chalinops pauciradiatus,Spotted Dragonet,Fish,2,2,,
Chasmodes saburrae,Florida Blenny,Fish,3509,1442,,
Chilomycterus schoepfii,Striped Burrfish,Fish,19074,5413,,
Chloroscombrus chrysurus,Atlantic Bumper,Fish,5382,658,,
Cichlasoma bimaculatum,Black Acara,Fish,22,9,Y,
Cichlasoma dimerus,Chanchita,Fish,3,3,Y,
