Reference,gr,Latitude,Longitude
TBM1996011603,020,27.525333,-82.6875
TBM1996011604,020,27.514833,-82.6855
TBM1996011606,020,27.664167,-82.734167
TBM1996011607,020,27.677833,-82.7355
TBM1996011609,020,27.7145,-82.7205
TBM1996011610,020,27.660167,-82.672667
TBM1996011701,020,27.825833,-82.810833
TBM1996011702,020,27.823167,-82.8075
TBM1996011704,020,27.697333,-82.645833
TBM1996011706,020,27.791333,-82.757333
TBM1996011709,020,27.774333,-82.7475
TBM1996011710,020,27.738667,-82.639667
TBM1996011712,020,27.740167,-82.6385
TBM1996011801,020,27.8835,-82.535833
TBM1996011802,020,27.8765,-82.535833
TBM1996011804,020,27.866,-82.542833
TBM1996011805,020,27.8475,-82.552333
TBM1996011812,020,27.956833,-82.705667
TBM1996011819,020,27.989333,-82.619667
TBM1996011904,020,27.9925,-82.684167
TBM1996011905,020,27.991667,-82.684167
TBM1996011907,020,28.004667,-82.6645
TBM1996012209,020,27.681833,-82.535667
TBM1996012211,020,27.6655,-82.546667
TBM1996012301,020,27.921667,-82.4825
TBM1996012302,020,27.910167,-82.491833
TBM1996012304,020,27.8795,-82.4825
TBM1996012308,020,27.8375,-82.397
TBM1996012502,020,27.565,-82.620833
TBM1996012504,020,27.608833,-82.559
TBM1996012505,020,27.573333,-82.62
TBM1996021301,020,27.5465,-82.581667
TBM1996021302,020,27.561667,-82.5705
TBM1996021303,020,27.537,-82.6395
TBM1996021307,020,27.600667,-82.564833
TBM1996021401,020,27.9375,-82.423
TBM1996021404,020,27.876167,-82.4375
TBM1996021408,020,27.854167,-82.480833
TBM1996021409,020,27.9075,-82.489167
TBM1996021605,020,27.735167,-82.625333
TBM1996021607,020,27.699667,-82.6425
TBM1996021616,020,27.6275,-82.732833
TBM1996021902,020,27.669333,-82.731667
TBM1996021903,020,27.701,-82.738167
TBM1996021904,020,27.708333,-82.711
TBM1996021906,020,27.765667,-82.758333
TBM1996021907,020,27.805833,-82.7725
TBM1996021908,020,27.800333,-82.7625
TBM1996021910,020,27.6975,-82.698
TBM1996022002,020,27.991667,-82.6285
TBM1996022005,020,28.015833,-82.6525
TBM1996022007,020,28.003333,-82.666167
TBM1996022009,020,27.747833,-82.477167
TBM1996022012,020,27.7215,-82.4815
TBM1996022013,020,27.914167,-82.675833
TBM1996022015,020,27.665333,-82.543667
TBM1996022101,020,27.884167,-82.620833
TBM1996022103,020,27.889167,-82.545
TBM1996022104,020,27.870167,-82.540833
TBM1996022105,020,27.848667,-82.557667
TBM1996022108,020,27.824,-82.607167
TBM1996030701,020,27.699667,-82.687167
TBM1996030703,020,27.6725,-82.736167
TBM1996030705,020,27.657833,-82.7005
TBM1996030801,020,27.7775,-82.7475
TBM1996030802,020,27.795833,-82.7575
TBM1996030803,020,27.804667,-82.794
TBM1996030804,020,27.830833,-82.819667
TBM1996030805,020,27.7275,-82.624167
TBM1996030806,020,27.724167,-82.634167
TBM1996031103,020,27.655833,-82.689167
TBM1996031203,020,27.541667,-82.627167
TBM1996031204,020,27.545667,-82.576167
TBM1996031214,020,27.609333,-82.562333
TBM1996031507,020,27.6915,-82.527667
TBM1996031508,020,27.6965,-82.513333
TBM1996031509,020,27.711833,-82.504667
TBM1996031510,020,27.7205,-82.495333
TBM1996032003,020,27.928667,-82.469833
TBM1996032010,020,27.875833,-82.483833
TBM1996032012,020,27.7865,-82.619667
TBM1996032013,020,27.875,-82.4275
TBM1996032014,020,27.896667,-82.423833
TBM1996032015,020,27.819333,-82.6155
TBM1996032017,020,27.830167,-82.602
TBM1996032101,020,28.0185,-82.6815
TBM1996032204,020,27.958167,-82.571
TBM1996032205,020,27.946333,-82.5445
TBM1996032207,020,27.926667,-82.533167
TBM1996032208,020,27.896,-82.635333
TBM1996032210,020,27.976333,-82.688167000000007
TBM1996041103,020,27.893167,-82.483333
TBM1996041104,020,27.88,-82.481667
TBM1996041106,020,27.8395,-82.438833
TBM1996041109,020,27.8435,-82.397
TBM1996041513,020,27.5005,-82.695
TBM1996041602,020,27.552333,-82.597667
TBM1996041701,020,27.959833,-82.691833
TBM1996041702,020,27.976167,-82.689
TBM1996041705,020,27.989833,-82.625833
TBM1996041706,020,28.001833,-82.6295
TBM1996041708,020,27.961667,-82.565833
TBM1996041709,020,27.944833,-82.544167
TBM1996041712,020,27.606667,-82.554333
TBM1996041804,020,27.847167,-82.618833
TBM1996041805,020,27.8395,-82.609167
TBM1996041808,020,27.87,-82.537167
TBM1996041809,020,27.871333,-82.533167
TBM1996042304,020,27.632833,-82.5745
TBM1996042306,020,27.6345,-82.566667
TBM1996042312,020,27.753333,-82.461167
TBM1996042314,020,27.749333,-82.467667
TBM1996042401,020,27.781667,-82.7475
TBM1996042402,020,27.7575,-82.745
TBM1996042403,020,27.728667,-82.737333
TBM1996042405,020,27.737,-82.7075
TBM1996042408,020,27.733167,-82.692167
TBM1996042502,020,27.769167,-82.630833
TBM1996042504,020,27.667833,-82.678667
TBM1996042505,020,27.653,-82.6835
TBM1996042508,020,27.644667,-82.721333
TBM1996051302,020,27.786667,-82.623667
TBM1996051303,020,27.820667,-82.617167
TBM1996051309,020,27.810833,-82.5955
TBM1996051310,020,27.813167,-82.596
TBM1996051313,020,27.862,-82.614
TBM1996051402,020,28.028,-82.679333
TBM1996051404,020,28.004333,-82.666333
TBM1996051406,020,27.961,-82.576167
TBM1996051408,020,27.891167,-82.639167
TBM1996051410,020,27.915,-82.638333
TBM1996051416,020,27.960333,-82.698833
TBM1996051503,020,27.703667,-82.68
TBM1996051504,020,27.645667,-82.672167
TBM1996051510,020,27.7135,-82.721
TBM1996051601,020,27.8255,-82.8105
TBM1996051604,020,27.783,-82.751833
TBM1996051607,020,27.7565,-82.747667
TBM1996051608,020,27.751833,-82.729
TBM1996051610,020,27.738833,-82.755333
TBM1996052115,020,27.589667,-82.5985
TBM1996052117,020,27.600667,-82.554
TBM1996052118,020,27.63,-82.569667
TBM1996052206,020,27.904167,-82.438
TBM1996052209,020,27.8945,-82.435833
TBM1996052214,020,27.769,-82.433
TBM1996052220,020,27.884167,-82.481667
TBM1996052301,020,27.678667,-82.512333
TBM1996052302,020,27.639333,-82.559333
TBM1996052307,020,27.714833,-82.504
TBM1996052308,020,27.723667,-82.491
TBM1996061002,020,27.658667,-82.709167
TBM1996061003,020,27.67,-82.743
TBM1996061006,020,27.697333,-82.717833
TBM1996061008,020,27.7,-82.685
TBM1996061009,020,27.737333,-82.64
TBM1996061101,020,27.74,-82.744833
TBM1996061102,020,27.741667,-82.73
TBM1996061104,020,27.829167,-82.831
TBM1996061105,020,27.795,-82.76
TBM1996061314,020,27.503667,-82.695
TBM1996061317,020,27.5855,-82.598333
TBM1996061319,020,27.564167,-82.5705
TBM1996061803,020,27.857833,-82.411667
TBM1996061809,020,27.883167,-82.48
TBM1996061812,020,27.924667,-82.418
TBM1996061901,020,27.868333,-82.5385
TBM1996061903,020,27.850167,-82.551
TBM1996061910,020,27.83,-82.584833
TBM1996061917,020,27.852333,-82.595667
TBM1996061918,020,27.7225,-82.480833
TBM1996061921,020,27.926833,-82.532333
TBM1996061923,020,27.908,-82.532667
TBM1996062004,020,27.978667,-82.688167000000007
TBM1996062005,020,27.76,-82.448667
TBM1996062007,020,27.749167,-82.455833
TBM1996062010,020,27.915,-82.680333
TBM1996062011,020,27.642333,-82.558333
TBM1996062014,020,27.6945,-82.522667
TBM1996062102,020,27.8975,-82.644167
TBM1996062104,020,27.966,-82.575333
TBM1996071104,020,27.638,-82.563
TBM1996071111,020,27.7415,-82.465167
TBM1996071501,020,27.5645,-82.6025
TBM1996071503,020,27.559833,-82.625
TBM1996071506,020,27.505,-82.698333
TBM1996071508,020,27.5255,-82.665167
TBM1996071705,020,27.663667,-82.680167
TBM1996071706,020,27.663,-82.716667
TBM1996071707,020,27.670333,-82.731167
TBM1996071709,020,27.700167,-82.687833
TBM1996071710,020,27.721833,-82.729833
TBM1996071711,020,27.701333,-82.6245
TBM1996071802,020,27.919,-82.488167
TBM1996071803,020,27.915333,-82.49
TBM1996071805,020,27.826833,-82.812
TBM1996071810,020,27.820667,-82.476167
TBM1996071811,020,27.819833,-82.482
TBM1996071813,020,27.753167,-82.7515
TBM1996071815,020,27.774667,-82.747
TBM1996071909,020,27.8475,-82.411333
TBM1996072203,020,27.99,-82.6215
TBM1996072204,020,27.999167,-82.6375
TBM1996072206,020,28.017167,-82.652667
TBM1996072207,020,28.0025,-82.655167
TBM1996072210,020,27.810333,-82.596333
TBM1996072212,020,27.779667,-82.621833
TBM1996072302,020,27.879333,-82.6115
TBM1996072303,020,27.8845,-82.621667
TBM1996072304,020,27.891167,-82.643667
TBM1996072307,020,27.849667,-82.623333
TBM1996081204,020,27.561,-82.603667
TBM1996081206,020,27.580167,-82.608833
TBM1996081303,020,27.501,-82.686333
TBM1996081401,020,27.987,-82.689667
TBM1996081402,020,27.994833,-82.683167
TBM1996081403,020,28.033167,-82.687833
TBM1996081405,020,27.981833,-82.606833
TBM1996081409,020,28.003,-82.676833
TBM1996081502,020,27.845333,-82.613833
TBM1996081503,020,27.8405,-82.609
TBM1996081507,020,27.666667,-82.662
TBM1996081509,020,27.689667,-82.706167
TBM1996081510,020,27.696333,-82.720167
TBM1996081511,020,27.702333,-82.737333
TBM1996081517,020,27.910833,-82.6575
TBM1996081519,020,27.874167,-82.600833
TBM1996081520,020,27.864167,-82.609167
TBM1996081601,020,27.759333,-82.741833
TBM1996081604,020,27.737167,-82.694667
TBM1996081605,020,27.8255,-82.808833
TBM1996081606,020,27.7915,-82.7765
TBM1996081902,020,27.676333,-82.509167
TBM1996081903,020,27.604333,-82.561667
TBM1996082009,020,27.777833,-82.422333
TBM1996082010,020,27.767833,-82.4335
TBM1996082103,020,27.9275,-82.4165
TBM1996082106,020,27.893667,-82.4855
TBM1996082109,020,27.847667,-82.469833
TBM1996082201,020,27.835333,-82.528167
TBM1996082210,020,27.847167,-82.409167
TBM1996091201,020,27.808,-82.803167
TBM1996091203,020,27.799,-82.770167
TBM1996091205,020,27.799667,-82.758
TBM1996091211,020,27.687333,-82.703833
TBM1996091212,020,27.6745,-82.734833
TBM1996091213,020,27.673,-82.730833
TBM1996091214,020,27.654833,-82.720833
TBM1996091305,020,27.6775,-82.665833
TBM1996091307,020,27.725833,-82.619167
TBM1996091601,020,27.843,-82.618833
TBM1996091602,020,27.844167,-82.613833
TBM1996091603,020,27.811333,-82.594667
TBM1996091609,020,27.896,-82.532833
TBM1996091611,020,27.869333,-82.612
TBM1996091702,020,27.943667,-82.5405
TBM1996091703,020,27.947,-82.549167
TBM1996091704,020,27.953833,-82.5475
TBM1996091705,020,27.931333,-82.7025
TBM1996091707,020,27.998167,-82.635
TBM1996091901,020,27.9085,-82.463167
TBM1996091902,020,27.551167,-82.572
TBM1996091905,020,27.926833,-82.418167
TBM1996091906,020,27.887167,-82.4175
TBM1996091907,020,27.587167,-82.612333
TBM1996091908,020,27.873167,-82.425833
TBM1996091910,020,27.594833,-82.593833
TBM1996091912,020,27.709167,-82.487833
TBM1996092303,020,27.844167,-82.423333
TBM1996092401,020,27.525833,-82.665833
TBM1996092403,020,27.549,-82.6255
